reviewAuthor;reviewTitle;originalAuthor;originalTitle
Bonakdar;Business model innovation. Leveraging existing logics for future opportunities;Chatterjee;Simple rules for designing business models
Bonakdar;Business model innovation. Leveraging existing logics for future opportunities;Ghezzi;Emerging business models and strategies for mobile platform providers: A reference framework
Bonakdar;Business model innovation. Leveraging existing logics for future opportunities;Hodge and Cagle;Business-To-Business e-business models: Classification and textile industry implications
Bonakdar;Business model innovation. Leveraging existing logics for future opportunities;Kujala et al.;Business models in project-based firms—Towards a typology of solution-specific business models
Bonakdar;Business model innovation. Leveraging existing logics for future opportunities;Linder and Cantrell;Changing business models: Surveying the landscape
Bonakdar;Business model innovation. Leveraging existing logics for future opportunities;Rappa;Managing the digital enterprise-Business models on the Web
Bonakdar;Business model innovation. Leveraging existing logics for future opportunities;Tapscott et al.;Digital capital: Harnessing the power of business webs
Bonakdar;Business model innovation. Leveraging existing logics for future opportunities;Timmers;Business models for electronic markets
Bonakdar;Business model innovation. Leveraging existing logics for future opportunities;Weill and Vitale;Place to space: Migrating to ebusiness models
Bonakdar;Business model innovation. Leveraging existing logics for future opportunities;Weill et al.;Business model management
Hedman and Kalling;The business model concept: Theoretical underpinnings and empirical illustrations;Applegate;E-business models: Making sense of the internet business landscape
Hedman and Kalling;The business model concept: Theoretical underpinnings and empirical illustrations;Rappa;Managing the digital enterprise-Business models on the Web
Hedman and Kalling;The business model concept: Theoretical underpinnings and empirical illustrations;Timmers;Business models for electronic markets
Lam and Harrison-Walker;Toward an objective-based typology of e-business models;Afuah and Tucci;Internet business models and strategies: Text and cases
Lam and Harrison-Walker;Toward an objective-based typology of e-business models;Eisenmann;Internet business models: Texts and cases
Lam and Harrison-Walker;Toward an objective-based typology of e-business models;Hanson;Principles of internet marketing
Lam and Harrison-Walker;Toward an objective-based typology of e-business models;Rappa;Managing the digital enterprise-Business models on the Web
Lam and Harrison-Walker;Toward an objective-based typology of e-business models;Strauss and Frost;E-marketing
Zott et al.;The business model: Theoretical roots, recent developments, and future research;Applegate;E-business models: Making sense of the internet business landscape
Zott et al.;The business model: Theoretical roots, recent developments, and future research;Rappa;Managing the digital enterprise-Business models on the Web
Zott et al.;The business model: Theoretical roots, recent developments, and future research;Tapscott et al.;Digital capital: Harnessing the power of business webs
Zott et al.;The business model: Theoretical roots, recent developments, and future research;Timmers;Business models for electronic markets
Zott et al.;The business model: Theoretical roots, recent developments, and future research;Weill and Vitale;Place to space: Migrating to ebusiness models
